#{"t_start": 1775915906.24693, "env_id": "None"}
r,l,t
-20.828749,24,2.952256
-21.183848,51,3.587959
-20.039883,59,4.11521
-20.329105,28,4.383857
-21.19517,52,4.833349
-21.826107,147,6.08195
-20.875077,20,6.247343
-17.155736,99,7.082396
-20.672125,21,7.263508
-20.775748,22,7.443129
-21.159024,140,8.640894
-19.862848,464,12.607927
-20.572343,36,12.906001
-21.169928,194,14.523867
-20.393604,143,15.771659
-18.954813,215,17.752664
-18.514277,91,18.546141
-17.372062,118,19.580208
-18.278203,70,20.206643
-1.868774,500,24.704093
0.469705,500,33.097149
53.859316,67,33.690951
53.798419,84,34.41937
0.829324,500,38.824876
1.002516,500,43.591974
-16.599439,54,44.08423
0.71088,500,48.858532
0.311993,500,57.273533
-0.286948,500,61.60712
0.317134,500,66.071246
0.229063,500,70.645875
0.553004,500,75.099724
0.574526,500,83.615213
0.057277,500,88.200761
0.625609,500,93.574965
0.641002,500,98.571827
0.823812,500,103.797678
1.18932,500,112.803344
1.192013,500,118.093075
1.728896,500,123.102794
1.674271,500,128.208149
-20.611056,36,128.600496
2.498931,500,133.59629
-21.657826,410,141.62822
2.374231,500,146.675773
2.751396,500,152.061911
52.89581,340,155.13277
2.74758,500,159.710983
-17.197662,217,161.951355
-2.367172,500,170.777875
-2.287883,500,175.477582
-2.943043,500,179.914596
-3.285054,500,184.961788
-3.228263,500,189.239928
-3.412819,500,197.50405
-3.257275,500,202.44962
-2.69998,500,207.442914
-0.806577,500,211.98724
-0.279152,500,216.386034
-0.812965,500,224.378674
-1.705375,500,228.785443
1.04397,500,233.194628
3.488838,500,237.84714
3.554494,500,242.281381
3.461036,500,250.538763
53.715825,443,254.431294
53.894629,59,254.998443
53.944122,94,255.808396
54.005065,83,256.533131
53.952105,110,257.573631
-17.81897,35,257.904281
-17.238841,36,258.243413
53.911839,155,259.633952
3.076782,500,264.167542
53.547602,351,267.357763
53.75656,214,269.273568
53.855578,162,270.864248
