#{"t_start": 1775915906.2480633, "env_id": "None"}
r,l,t
-20.426622,24,2.951229
-16.799724,90,3.944743
-19.719186,71,4.583278
-18.261766,75,5.236852
-20.477979,23,5.436643
-18.525329,146,6.644541
-20.849955,131,7.74893
53.746443,93,8.555311
-21.770241,282,11.004926
-16.775,86,11.709791
-18.746958,253,13.828172
-17.953009,101,14.673553
-17.264542,113,15.670018
-18.654794,178,17.32106
-19.038991,328,20.205649
-1.312246,500,24.703105
52.159646,348,31.755589
-0.507921,500,36.137612
53.841076,79,36.822381
0.464347,500,41.548482
0.633335,500,46.312407
0.61862,500,50.9492
0.619275,500,59.188984
0.314245,500,63.551719
0.557637,500,68.220896
0.264808,500,72.591161
-0.106915,500,77.09174
0.350289,500,85.586303
0.589722,500,90.436315
-2.157784,500,95.59762
0.46846,500,100.904652
0.796999,500,105.926495
0.807793,500,115.114824
1.788847,500,120.317309
1.431774,500,125.33584
2.277849,500,130.457875
-20.729101,60,131.004499
-20.698675,39,131.340884
-20.657219,46,131.810813
-20.663917,148,133.350415
-20.699283,145,134.887481
-21.592469,292,141.683231
2.288529,500,146.740581
2.402283,500,152.120084
53.271499,246,154.414616
-17.466744,193,155.977113
53.224178,346,159.215793
-16.8426,103,160.273016
-17.354737,200,162.267595
-2.343518,500,171.150146
-2.188144,500,175.81712
-2.755031,500,180.324593
-3.307833,500,185.27677
-3.46599,500,189.555832
-3.412992,500,197.803299
-3.268081,500,202.850116
-2.453977,500,207.821185
-0.701311,500,212.327741
-0.31384,500,216.710359
-1.09458,500,224.685907
-1.928733,500,229.10917
1.598618,500,233.529912
3.47803,500,238.182091
3.497844,500,242.617931
53.833914,232,244.72392
3.617691,500,252.882742
53.808186,214,254.829791
53.967958,114,255.818489
53.983631,93,256.643351
53.851221,55,257.129706
53.88803,128,258.353421
53.916333,146,259.675497
3.166288,500,264.215752
53.515286,346,267.346704
53.646856,241,269.526349
53.819021,140,270.899832
