#{"t_start": 1775915906.2498355, "env_id": "None"}
r,l,t
-20.646613,168,4.432111
-19.871748,64,4.99153
-21.228178,111,5.929683
-20.720546,22,6.113821
-20.917106,71,6.712291
-21.516728,145,7.933043
-20.641276,193,9.57512
-21.389235,178,11.144462
-21.125117,227,13.040733
-22.169479,255,15.171316
-17.254009,68,15.787163
-17.284726,121,16.944008
-18.085123,157,18.306771
-21.06586,126,19.413377
-18.129421,132,20.591019
-17.391233,62,21.139436
-16.890839,86,21.927809
0.705232,500,30.283632
-0.878441,500,34.774515
0.703352,500,39.178216
-0.021125,500,43.966628
0.629627,500,48.740123
0.055044,500,57.158844
0.58984,500,61.492041
0.660312,500,65.940097
0.230552,500,70.526805
0.412211,500,74.986656
0.452423,500,83.475456
0.004128,500,88.063578
-0.304991,500,93.434339
-0.049964,500,98.432534
0.52951,500,103.664732
1.178766,500,112.658959
1.249904,500,117.952203
1.61469,500,122.968884
1.670431,500,128.063313
-20.703146,43,128.53024
-20.737551,57,129.144819
-20.794102,56,129.755542
-20.831988,151,131.107794
-20.651748,73,131.809188
-20.548501,37,132.193452
-20.570528,86,133.075771
-21.778408,455,141.616213
2.043207,500,146.663851
2.429721,500,152.048631
53.002121,346,155.167944
-16.932274,95,155.928571
2.931874,500,160.760582
-17.203722,148,162.210998
-17.225279,102,163.239305
-2.367812,500,172.05553
-2.435113,500,176.653895
-2.957882,500,181.360621
-3.224631,500,186.099172
-3.452072,500,190.3454
-3.377733,500,198.673456
-3.254716,500,203.869066
-1.758889,500,208.635613
-0.619746,500,213.191221
-0.530664,500,217.576906
-1.405298,500,225.536488
-2.216628,500,229.944983
2.102844,500,234.438368
3.633511,500,239.050587
3.53386,500,243.474289
3.554272,500,251.718874
53.740777,263,254.030997
-17.063357,38,254.351264
53.884848,75,255.057534
53.936813,87,255.805691
53.99288,75,256.445212
53.868928,100,257.405227
-17.531629,38,257.768557
-17.453374,36,258.111501
53.935045,119,259.136905
-17.360602,38,259.501099
3.065152,500,264.034257
3.27795,500,268.595145
53.953937,126,269.762804
53.84371,151,271.185389
